fdc_id,food_name,carbs_g,protein_g,fat_g,calories
167628,"Cornmeal, blue (Navajo)",76.93,10.4,5.44,398.0
167629,"Melon, banana (Navajo)",4.06,0.84,0.2,21.0
167630,Chilchen (Red Berry Beverage) (Navajo),8.68,0.81,0.63,44.0
167631,"Corn, dried (Navajo)",74.93,9.88,5.22,386.0
167632,"Squash, Indian, cooked, boiled (Navajo)",3.22,0.31,0.15,16.0
167633,"Bread, kneel down (Navajo)",39.47,4.29,2.21,195.0
167634,"Mutton, cooked, roasted (Navajo)",0.08,33.43,11.09,234.0
167635,"Frybread, made with lard (Navajo)",48.26,6.69,12.22,330.0
167636,Tamales (Navajo),18.12,6.28,6.12,153.0
167637,"Stew, steamed corn (Navajo)",10.8,8.82,3.75,112.0
167638,"Fish, halibut, raw, with skin (Alaska Native)",1.81,20.53,2.92,116.0
167639,"Fish, salmon, coho (silver), raw (Alaska Native)",0.0,22.56,5.57,140.0
167640,"Blueberries, wild, raw (Alaska Native)",12.31,1.22,0.76,61.0
167641,"Oil, spotted seal (Alaska Native)",0.0,0.0,99.32,894.0
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",0.0,27.31,5.76,161.0
167643,"Fish, whitefish, eggs (Alaska Native)",4.89,14.66,2.88,104.0
167644,"Caribou, rump meat, half dried (Alaska Native)",0.0,52.06,5.23,255.0
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",0.0,35.19,7.26,206.0
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",0.0,24.5,4.75,141.0
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",0.0,23.19,12.95,209.0
167648,"Fish, sheefish, raw (Alaska Native)",0.0,22.25,2.84,115.0
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",0.0,21.44,1.3,97.0
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",0.0,62.38,2.31,270.0
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",0.0,32.51,1.8,146.0
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",0.0,19.74,2.1,98.0
167653,"Corn, dried, yellow (Northern Plains Indians)",66.27,14.48,10.64,419.0
167654,"Smelt, dried (Alaska Native)",0.0,56.19,17.9,386.0
167655,"Frybread, made with lard (Apache)",46.01,8.38,10.14,309.0
167656,Corned beef and potatoes in tortilla (Apache),29.35,7.91,8.31,224.0
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",19.28,13.19,11.05,229.0
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",17.92,12.56,10.81,219.0
167659,"Restaurant, Latino, chicken and rice, entree, prepared",20.03,12.02,5.06,174.0
167660,"Restaurant, Latino, empanadas, beef, prepared",31.19,11.31,18.37,335.0
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",22.39,11.72,13.25,256.0
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",23.02,11.51,10.43,232.0
167664,"Restaurant, Latino, tamale, corn",26.68,3.48,7.21,186.0
167665,"Restaurant, Mexican, spanish rice",31.16,3.28,5.29,185.0
167666,"Restaurant, Mexican, refried beans",16.79,6.91,6.77,156.0
167667,"Restaurant, Chinese, egg rolls, assorted",27.29,8.28,11.94,250.0
167669,"CRACKER BARREL, steak fries",30.87,3.26,13.18,255.0
167670,"CRACKER BARREL, grilled sirloin steak",0.0,31.52,8.52,203.0
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",15.58,6.46,11.51,192.0
167672,"DENNY'S, french fries",35.2,3.41,14.13,282.0
167673,"DENNY'S, top sirloin steak",0.14,28.9,7.34,182.0
167674,"Restaurant, Chinese, lemon chicken",20.61,11.87,13.55,252.0
167675,"Restaurant, Chinese, general tso's chicken",23.99,12.9,16.36,295.0
167676,"Restaurant, Chinese, kung pao chicken",6.87,9.76,6.98,129.0
167677,"Restaurant, Chinese, vegetable lo mein, without meat",20.16,4.77,2.35,121.0
167678,"Restaurant, Chinese, chicken and vegetables",5.38,8.18,4.56,95.0
167679,"Restaurant, Chinese, orange chicken",22.46,14.46,12.68,262.0
167680,"Restaurant, Italian, spaghetti with meat sauce",16.4,5.79,3.59,121.0
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",87.38,0.45,0.04,218.0
167682,"Pectin, liquid",2.1,0.0,0.0,11.0
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",26.11,6.4,10.1,221.0
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",7.0,1.5,14.0,160.0
167685,"Bologna, beef and pork, low fat",2.6,11.5,19.3,230.0
167686,"Milk dessert, frozen, milk-fat free, chocolate",37.7,4.3,1.0,167.0
167687,"Whipped topping, frozen, low fat",23.6,3.0,13.1,224.0
167688,"Cream substitute, powdered, light",73.4,1.9,15.7,431.0
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",56.89,10.16,29.32,529.0
167690,"Babyfood, apple yogurt dessert, strained",19.5,0.8,1.6,93.0
167691,"Vegetable oil-butter spread, reduced calorie",0.0,0.0,53.0,465.0
167692,"Salad dressing, blue or roquefort cheese dressing, light",13.2,2.1,2.7,86.0
167693,"Salad dressing, french dressing, reduced calorie",27.0,0.4,13.0,227.0
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",0.7,22.7,23.0,307.0
167695,"Mayonnaise, made with tofu",3.06,5.95,31.79,322.0
167696,"Frankfurter, beef, low fat",1.6,12.0,9.5,140.0
167697,"Milk, buttermilk, fluid, cultured, reduced fat",5.3,4.1,2.0,56.0
167698,"Pork sausage rice links, brown and serve, cooked",2.36,13.7,37.63,407.0
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",25.6,1.52,1.01,115.0
167700,"Salad Dressing, mayonnaise-like, fat-free",15.5,0.2,2.7,84.0
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",71.22,3.2,17.5,443.0
167702,"Oil, flaxseed, cold pressed",0.0,0.11,99.98,884.0
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",3.2,12.4,1.0,74.0
167704,"Salad dressing, bacon and tomato",2.0,1.8,35.0,326.0
167705,"Cheese, parmesan, low sodium",3.7,41.6,29.99,451.0
167706,"Jams, preserves, marmalade, reduced sugar",37.6,0.0,0.1,151.0
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",91.0,0.25,0.16,227.0
167708,"Tomato and vegetable juice, low sodium",4.59,0.6,0.1,22.0
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",0.0,27.4,12.41,221.0
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",0.0,27.9,9.8,200.0
167711,"Beverages, Chocolate-flavored drink, whey and milk based",10.68,0.64,0.4,49.0
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",1.43,37.04,41.78,541.0
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",0.0,29.3,5.0,162.0
167714,"Hearts of palm, raw",25.61,2.7,0.2,115.0
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",80.65,10.93,2.06,339.0
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",3.0,10.9,1.0,67.0
167717,Yeast extract spread,20.42,23.88,0.9,185.0
167718,"Babyfood, juice, pear",11.86,0.0,0.0,43.0
167719,"Chicken, meatless, breaded, fried",8.51,21.28,12.77,234.0
167720,"Babyfood, meat, beef with vegetables, toddler",8.72,3.5,2.1,69.0
167721,"Frozen novelties, juice type, juice with cream",24.11,1.41,1.41,115.0
167722,Tofu yogurt,15.96,3.5,1.8,94.0
167723,"Alcoholic beverage, rice (sake)",5.0,0.5,0.0,134.0
167724,"Millet, puffed",80.0,13.0,3.4,354.0
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",78.0,10.0,3.0,380.0
167726,"Babyfood, mixed fruit yogurt, strained",16.23,0.8,0.8,75.0
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",19.88,5.16,4.52,141.0
167728,"Babyfood, rice and apples, dry",86.89,6.7,2.4,396.0
167729,"Babyfood, juice, apple - cherry",11.2,0.2,0.1,47.0
167730,"Milk, imitation, non-soy",5.3,1.6,2.0,46.0
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",88.5,6.6,0.9,389.0
167732,"Babyfood, banana no tapioca, strained",21.34,1.0,0.2,91.0
167733,"Babyfood, banana apple dessert, strained",16.3,0.3,0.2,68.0
167734,"Breakfast bar, corn flake crust with fruit",72.8,4.4,7.5,376.0
167735,"Cheese, mozzarella, low sodium",3.1,27.5,17.1,280.0
167736,"Mayonnaise dressing, no cholesterol",0.3,0.0,77.8,688.0
167737,"Oil, corn, peanut, and olive",0.0,0.0,100.0,884.0
167738,"Pie fillings, blueberry, canned",44.38,0.41,0.2,181.0
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",71.6,0.08,0.01,287.0
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix",74.42,10.08,3.0,365.0
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",86.04,1.6,0.1,351.0
